Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Comoros,COM,23000,24000,26000,27000,24000,24000,19000,19000,21000,23000,26000,28000,15000,15000,11000,15000,19000,23000,22000,23000,24000,27000,28000,36000,45000,7000
Cabo Verde,CPV,28000,37000,45000,52000,67000,115000,134000,126000,150000,157000,198000,242000,267000,285000,287000,336000,428000,482000,503000,494000,520000,598000,668000,710000,758000,180000
Costa Rica,CRI,924000,940000,1013000,1167000,1267000,1278000,1320000,1335000,1514000,1771000,1959000,2071000,2302000,2409000,2309000,2495000,2526000,2542000,2641000,2760000,2899000,3204000,3231000,3313000,3366000,1146000
Caribbean small states,CSS,8608000,9028000,9357000,9483000,9901000,11115000,10923000,11075000,12223000,13944000,13152000,13524000,13774000,13494000,14132000,14853000,15421000,15540000,15674000,16644000,17200000,17638000,18488000,19670000,19819000,
Cuba,CUB,745000,1004000,1170000,1416000,1603000,1774000,1775000,1686000,1906000,2049000,2319000,2221000,2152000,2348000,2430000,2532000,2716000,2847000,2862000,3014000,3540000,4009000,4654000,4712000,4276000,1086000
Curacao,CUW,396000,387000,422000,437000,433000,514000,519000,545000,508000,452000,510000,572000,664000,773000,808000,762000,837000,908000,1071000,1129000,1072000,944000,1058000,1210000,1293000,
Cayman Islands,CYM,1044000,1173000,1248000,1275000,1431000,1385000,1549000,1878000,2113000,1953000,1967000,2197000,2008000,1856000,1792000,1886000,1710000,1829000,1721000,1993000,2102000,2097000,2147000,2384000,2334000,660000
Cyprus,CYP,2253000,2089000,2194000,2357000,2578000,2912000,2841000,2495000,2416000,2478000,2657000,2629000,2671000,2631000,2370000,2450000,2626000,2635000,2626000,2558000,2780000,3286000,3750000,4024000,4117000,
Czechia,CZE,,,,,,,,,20108000,23808000,24747000,25102000,22625000,21850000,23285000,21941000,22810000,25750000,26332000,27166000,29604000,32519000,34701000,36268000,37202000,
Germany,DEU,14847000,15205000,15837000,16511000,17116000,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000,38881000,39563000,12449000
Djibouti,DJI,21000,20000,20000,21000,21000,20000,22000,22000,23000,26000,30000,40000,40000,54000,58000,51000,56000,60000,63000,,,,,,,
Dominica,DMA,203000,261000,299000,312000,280000,312000,276000,208000,254000,466000,381000,465000,437000,468000,608000,595000,418000,348000,311000,370000,358000,356000,230000,199000,322000,140000
Denmark,DNK,,,,,,,,,21119000,22054000,26927000,26936000,27138000,26870000,26571000,26730000,25811000,26402000,26516000,28070000,28209000,28692000,30736000,30801000,33093000,15595000
Dominican Republic,DOM,1806000,2037000,2482000,2702000,2932000,3161000,3090000,3058000,3680000,3907000,3981000,4268000,4365000,4455000,4489000,4478000,4654000,4901000,5114000,5576000,6129000,6769000,7296000,7551000,7550000,2748000
Algeria,DZA,520000,605000,635000,678000,749000,866000,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000,2657000,2371000,591000
East Asia & Pacific (excluding high income),EAP,70698000,77174000,83286000,88454000,101735000,116410000,125452000,136490000,125706000,152728000,165948000,174722000,188387000,188916000,186368000,200103000,208058000,211756000,217301000,219500000,232372000,246129000,267094000,281130000,292842000,
Early-demographic dividend,EAR,163203000,170264000,174864000,177704000,181006000,190532000,184897000,190887000,186159000,208858000,220351000,222513000,237448000,253966000,245231000,260218000,251178000,266770000,276291000,298030000,305091000,301877000,326788000,350577000,369337000,
East Asia & Pacific,EAS,112957000,124181000,127838000,130699000,147606000,168455000,178795000,194873000,180513000,224751000,243812000,259502000,283353000,281400000,276931000,306945000,324631000,341732000,359795000,378068000,395583000,422310000,449587000,480202000,490804000,
Europe & Central Asia (excluding high income),ECA,41255000,47928000,60731000,53958000,53587000,61157000,63741000,69762000,73537000,83794000,92511000,95696000,113529000,123904000,115245000,119087000,132499000,142151000,151065000,140838000,142759000,134101000,149457000,169085000,180880000,
Europe & Central Asia,ECS,610099000,647081000,685140000,695696000,706816000,746290000,714973000,723772000,736934000,784677000,815823000,854328000,883816000,884796000,854438000,869779000,918783000,944561000,980014000,997037000,1026805000,1055432000,1112981000,1157868000,1199188000,
Ecuador,ECU,440000,494000,529000,511000,518000,627000,641000,683000,761000,819000,860000,841000,937000,1005000,968000,1047000,1141000,1272000,1364000,1695000,1676000,1569000,1806000,2535000,2108000,
"Egypt, Arab Rep.",EGY,3133000,3896000,3961000,3454000,4797000,5506000,4648000,5192000,6044000,8104000,8608000,9083000,11091000,12835000,12536000,14731000,9845000,11532000,9464000,9878000,9328000,5399000,8292000,11346000,13026000,
Euro area,EMU,,,,,,,,,,453620000,462527000,489625000,494728000,495769000,483881000,491730000,514734000,520092000,539066000,555108000,571048000,590598000,617852000,638608000,655573000,
Eritrea,ERI,315000,417000,410000,188000,57000,70000,113000,101000,80000,87000,83000,78000,81000,70000,79000,84000,107000,129000,141000,119000,114000,142000,,,,
Spain,ESP,52460000,55077000,62415000,68068000,72040000,74580000,75564000,79313000,82326000,85981000,92563000,96152000,98907000,97670000,91899000,93744000,99187000,98128000,103231000,107144000,109834000,115561000,121717000,124456000,126170000,36410000
Estonia,EST,2111000,2444000,2618000,2909000,3181000,3310000,3230000,3253000,3378000,,,,,3828000,3834000,4369000,4907000,5007000,5737000,5804000,5696000,5942000,6145000,6033000,6103000,1695000
Ethiopia,ETH,103000,109000,139000,112000,115000,136000,148000,156000,180000,184000,227000,330000,358000,383000,427000,468000,523000,597000,681000,770000,864000,871000,933000,849000,812000,518000
European Union,EUU,543502000,568078000,592858000,608641000,622202000,650173000,616082000,615268000,625662000,658493000,678885000,711023000,723201000,717085000,695775000,708411000,743016000,759682000,784371000,809619000,835937000,870371000,910869000,938486000,968873000,
Fragile and conflict affected situations,FCS,10766000,11567000,10979000,11909000,12500000,13330000,14607000,16446000,17350000,19976000,20088000,21664000,25383000,29047000,31567000,36919000,30416000,32472000,33261000,,,,,,,
Finland,FIN,1779000,1724000,1832000,2644000,2454000,2714000,2826000,2875000,2601000,2840000,3140000,3375000,3519000,3583000,3423000,3670000,4192000,4226000,2797000,2731000,2622000,2789000,3180000,3224000,3290000,896000
Fiji,FJI,476000,534000,547000,499000,544000,434000,446000,461000,451000,513000,547000,,542000,627000,605000,692000,734000,741000,769000,781000,869000,963000,1027000,1058000,969000,168000
France,FRA,,148263000,157551000,,,,,,,190282000,185829000,193882000,193319000,193571000,192369000,189826000,196595000,197522000,204410000,206599000,203302000,203042000,207274000,211998000,217877000,117109000
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,18000,17000,13000,16000,20000,15000,19000,18000,19000,19000,19000,21000,26000,48000,45000,35000,38000,42000,35000,31000,30000,,19000,18000,
Gabon,GAB,203000,217000,247000,274000,262000,230000,236000,269000,234000,351000,526000,,,,,,,,,,,,,,,
United Kingdom,GBR,23537000,25163000,25515000,25745000,25394000,25209000,22835000,24180000,24715000,27755000,29970000,32713000,32778000,31888000,31072000,30398000,31886000,32221000,33567000,35337000,36792000,39129000,41080000,40283000,40857000,11101000
Georgia,GEO,85000,117000,313000,317000,384000,387000,302000,298000,313000,368000,560000,983000,1052000,1290000,1500000,2032000,2712000,4106000,4954000,5004000,5256000,5393000,6483000,7203000,7726000,1513000
Ghana,GHA,286000,305000,325000,348000,373000,399000,439000,483000,531000,584000,429000,497000,587000,698000,803000,931000,821000,903000,994000,825000,897000,,,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,12000,17000,23000,27000,33000,38000,43000,44000,45000,45000,46000,30000,24000,,12000,131000,96000,56000,33000,35000,63000,99000,,,
"Gambia, The",GMB,45000,77000,85000,91000,96000,79000,57000,81000,89000,90000,108000,125000,143000,147000,142000,91000,106000,157000,171000,156000,449000,450000,522000,552000,620000,246000
Guinea-Bissau,GNB,,,,,,,8000,,,,5000,12000,16000,18000,16000,22000,37000,35000,36000,36000,44000,45000,50000,55000,52000,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,10712000,9782000,10588000,11364000,12606000,13567000,14678000,14918000,14785000,14268000,15938000,17284000,,,,,,,20112000,24272000,26114000,28071000,30161000,33072000,34005000,7406000
Grenada,GRD,369000,386000,368000,392000,379000,316000,277000,271000,294000,370000,380000,342000,406000,428000,460000,445000,447000,370000,327000,387000,437000,474000,468000,529000,526000,217000
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,563000,520000,576000,636000,823000,826000,835000,884000,880000,1182000,1316000,1502000,1628000,1715000,1311000,1384000,1434000,1491000,1516000,1739000,1865000,1906000,2120000,2406000,2560000,594000
Guam,GUM,1362000,1373000,1382000,1137000,1162000,1287000,1159000,1059000,910000,1160000,1228000,1212000,1225000,1142000,1053000,1197000,1160000,1308000,1334000,1343000,1409000,1536000,1545000,1549000,1667000,328000
Guyana,GUY,106000,92000,76000,66000,75000,105000,99000,104000,101000,122000,117000,113000,134000,130000,141000,152000,157000,177000,200000,206000,207000,235000,247000,287000,315000,86000
High income,HIC,790212000,829886000,856250000,866370000,886282000,929784000,884987000,879166000,871624000,939596000,969910000,1128257000,1143132000,1134881000,1087553000,1124272000,1153168000,1215901000,1266071000,1315758000,1349915000,1403510000,1453128000,1491870000,1522430000,
"Hong Kong SAR, China",HKG,10200000,12974000,11273000,10160000,11328000,13059000,13725000,16566000,15537000,21811000,23359000,25251000,28169000,29507000,29591000,36030000,41921000,48615000,54299000,60839000,59308000,56655000,58472000,65148000,55913000,3569000
Honduras,HND,,271000,310000,324000,428000,689000,672000,788000,887000,1026000,1118000,1136000,1309000,1561000,1589000,1965000,1852000,1903000,1857000,2082000,2093000,2228000,2144000,2323000,2315000,669000
Heavily indebted poor countries (HIPC),HPC,,5750000,6186000,6328000,7116000,7779000,8160000,9043000,9193000,10210000,11488000,12898000,14614000,15476000,15906000,17437000,19069000,20446000,21286000,21852000,23619000,25289000,27119000,29458000,29135000,
Croatia,HRV,16100000,19085000,23660000,25499000,29215000,37226000,40129000,41737000,42857000,44974000,45762000,47733000,52271000,51336000,47573000,49006000,49969000,47185000,48345000,51168000,55858000,57587000,59238000,57668000,60021000,21608000
Haiti,HTI,370000,400000,387000,393000,386000,445000,499000,482000,518000,385000,480000,558000,868000,758000,826000,793000,946000,959000,1064000,1128000,1190000,1153000,1262000,1333000,938000,
Hungary,HUN,39240000,39833000,37315000,33624000,28803000,31141000,30679000,31739000,31412000,33934000,36173000,38318000,39379000,39554000,40624000,39904000,41304000,43565000,43611000,45984000,48345000,52890000,54962000,57667000,61397000,31641000
IBRD only,IBD,356803000,381712000,407772000,414169000,437117000,468296000,453338000,461401000,453204000,519447000,553668000,569029000,606513000,614738000,588744000,618728000,631384000,653441000,674499000,683101000,710625000,732382000,787599000,823989000,852167000,
IDA & IBRD total,IBT,385651000,413555000,441764000,449512000,474501000,508312000,493824000,504228000,496860000,569824000,606223000,626142000,671923000,683771000,659262000,695223000,706710000,733807000,759074000,771436000,805369000,826248000,889465000,939010000,974463000,
IDA total,IDA,15731000,17911000,19106000,20294000,21509000,23005000,24183000,26352000,27592000,31980000,32888000,37121000,44274000,47671000,50223000,55256000,53614000,58251000,62020000,65942000,71927000,71606000,78202000,93090000,100914000,
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,4324000,5034000,5185000,4606000,4728000,5064000,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000,14040000,15810000,16107000,4053000
IDA only,IDX,8091000,9357000,9636000,9988000,10993000,12505000,13101000,15035000,15536000,18458000,19225000,21222000,24248000,27425000,28670000,32649000,32417000,35989000,40041000,42827000,46443000,46337000,50309000,58328000,63144000,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,2124000,2288000,2374000,2359000,2482000,2649000,2537000,2384000,2726000,3457000,3919000,4447000,5082000,5283000,5168000,5776000,6309000,6578000,6968000,13107000,13284000,14570000,15543000,17423000,17914000,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,4818000,5289000,5587000,6064000,6403000,6646000,6353000,6476000,6764000,6953000,7333000,8001000,8332000,8026000,7189000,7134000,7630000,7550000,8260000,8813000,9528000,10100000,10338000,10926000,10951000,
"Iran, Islamic Rep.",IRN,452000,573000,764000,1008000,1321000,1342000,1402000,1585000,1546000,1659000,1889000,2735000,2219000,2034000,2116000,2938000,3354000,3834000,4769000,4968000,5237000,4942000,4867000,7295000,9107000,1550000
Iraq,IRQ,61000,51000,15000,45000,30000,78000,127000,,,,,,,864000,1262000,1518000,1510000,1111000,892000,,,,,,,
Iceland,ISL,211000,223000,223000,255000,281000,328000,329000,315000,348000,405000,429000,477000,539000,561000,563000,559000,628000,765000,900000,1102000,1389000,1891000,2353000,2488000,2202000,488000
Israel,ISR,2530000,2360000,2295000,2200000,2566000,2672000,1219000,862000,,1506000,1916000,1834000,2294000,3034000,2740000,3444000,3362000,3520000,3540000,3251000,3109000,3070000,3863000,4389000,4905000,
Italy,ITA,55706000,59805000,57998000,58499000,59521000,62702000,60960000,63561000,63026000,58480000,59230000,66353000,70271000,70719000,71692000,73225000,75866000,76293000,76762000,77694000,81068000,84925000,89931000,93229000,95399000,38419000
Jamaica,JAM,1752000,1821000,1904000,1899000,2013000,2230000,2117000,2131000,2483000,2515000,2615000,3016000,2880000,2859000,2753000,2832000,3077000,3306000,3274000,3504000,3692000,3837000,4276000,4319000,4233000,1330000
Jordan,JOR,3277000,3164000,3068000,3438000,3231000,2700000,3034000,4677000,4600000,5587000,5817000,6573000,6529000,7100000,7085000,8078000,6813000,6314000,5389000,5327000,4809000,4236000,4565000,4922000,5361000,1240000
Japan,JPN,3345000,3837000,4218000,4106000,4438000,4757000,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,24039000,28691000,31191000,31881000,4116000
Kazakhstan,KAZ,,202000,284000,257000,394000,1683000,2693000,3678000,3237000,4291000,4365000,4707000,5311000,4117000,3774000,4097000,5685000,6163000,6841000,6333000,6430000,6509000,7701000,8789000,8515000,2035000
Kenya,KEN,974000,1003000,1001000,894000,969000,1037000,994000,1001000,1146000,1361000,1479000,1601000,1817000,1203000,1490000,1609000,1823000,1711000,1520000,1350000,1181000,1340000,1449000,2025000,2049000,
Kyrgyz Republic,KGZ,,,,290000,165000,173000,199000,183000,342000,398000,319000,766000,1656000,2379000,2451000,1224000,3025000,3393000,4134000,3791000,4000000,3853000,4568000,6947000,8508000,
Cambodia,KHM,220000,260000,219000,287000,368000,466000,605000,787000,701000,1055000,1422000,1700000,2015000,2125000,2162000,2508000,2882000,3584000,4210000,4503000,4775000,5012000,5602000,6201000,6611000,1306000
Kiribati,KIR,,,,,20000,13000,14000,120000,130000,64000,50000,11000,32000,,,,,,,8000,8000,8000,8000,9000,12000,
St. Kitts and Nevis,KNA,203000,172000,194000,250000,226000,247000,334000,240000,247000,383000,365000,350000,379000,533000,548000,624000,723000,666000,695000,818000,1036000,1055000,1194000,1278000,1107000,301000
"Korea, Rep.",KOR,3753000,3684000,3908000,4250000,4660000,5322000,5147000,5347000,4753000,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,11140000,12176000,14202000,13232000,17242000,13336000,15347000,17503000,2519000
Kuwait,KWT,1443000,1565000,1638000,1763000,1884000,1944000,2072000,2316000,2602000,3056000,3474000,3899000,4482000,4736000,5088000,5208000,5574000,5729000,6217000,6528000,6941000,7055000,7407000,8508000,8565000,2161000
Latin America & Caribbean (excluding high income),LAC,118760000,122092000,124223000,128597000,131143000,135852000,129632000,128165000,122615000,132973000,139294000,136738000,135404000,136305000,130549000,128009000,124212000,126982000,129584000,136667000,145821000,156330000,165093000,164604000,165233000,
Lao PDR,LAO,346000,403000,463000,500000,614000,737000,674000,736000,636000,895000,1095000,1215000,1624000,1737000,2008000,2513000,2724000,3330000,3779000,4159000,4684000,4239000,3869000,4186000,4791000,886000
Lebanon,LBN,450000,424000,558000,631000,673000,742000,837000,956000,1016000,1278000,1140000,1063000,1017000,1333000,1844000,2168000,1655000,1366000,1274000,1355000,1518000,1688000,1857000,1964000,1936000,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,1832000,1276000,913000,850000,965000,963000,953000,858000,958000,,,125000,106000,760000,,,,,,,,,,,,
St. Lucia,LCA,407000,422000,563000,629000,666000,727000,747000,648000,683000,791000,720000,670000,905000,925000,982000,984000,950000,889000,921000,987000,1031000,948000,1064000,1165000,1220000,432000
Latin America & Caribbean,LCN,140093000,144212000,147783000,152444000,154423000,161345000,155631000,152948000,148080000,161111000,167840000,165383000,164051000,165006000,158419000,157336000,155234000,159170000,162605000,171231000,182042000,193556000,202721000,201522000,201856000,
Least developed countries: UN classification,LDC,5473000,6658000,6958000,7095000,7951000,8411000,8823000,9811000,9708000,11145000,12956000,14530000,16999000,18005000,18594000,20467000,23220000,26002000,28996000,31645000,33503000,32625000,34558000,38556000,40176000,
Low income,LIC,,,,,,,4423000,5834000,5908000,7428000,7489000,7947000,8225000,9780000,10644000,13440000,11066000,11790000,12106000,12211000,11563000,13029000,14021000,17022000,17410000,
Liechtenstein,LIE,59000,56000,57000,59000,60000,62000,56000,49000,49000,48000,50000,55000,73000,73000,66000,64000,67000,62000,60000,61000,57000,69000,79000,85000,98000,58000
Sri Lanka,LKA,414000,315000,384000,409000,465000,445000,397000,457000,583000,681000,669000,689000,592000,526000,538000,766000,976000,1133000,1415000,1665000,1993000,2168000,2248000,2521000,2027000,540000
Lower middle income,LMC,40349000,44942000,56688000,53669000,57315000,60823000,61303000,64049000,69067000,82273000,88540000,96433000,112971000,120779000,117207000,126945000,125757000,136178000,142765000,140616000,145156000,146764000,166574000,192814000,207722000,
Low & middle income,LMY,277743000,296977000,319785000,325180000,346142000,376461000,382836000,403925000,394043000,453547000,486277000,503389000,543032000,562444000,548334000,578189000,585014000,607554000,626413000,634344000,658163000,673875000,731331000,782001000,814041000,
Lesotho,LSO,209000,312000,313000,290000,308000,302000,295000,287000,329000,304000,304000,357000,300000,293000,344000,426000,398000,423000,433000,1079000,1082000,1196000,1137000,1173000,1142000,
Late-demographic dividend,LTE,208727000,226459000,237061000,246545000,266218000,284253000,271214000,272907000,267563000,312413000,331645000,347356000,369420000,367076000,353529000,375169000,394674000,413362000,430929000,437116000,460462000,479145000,508820000,532235000,549832000,
Lithuania,LTU,2600000,3497000,3702000,4287000,4454000,4092000,4195000,3999000,3635000,,,,4251000,4459000,4001000,4073000,4504000,4979000,5264000,5217000,5048000,5322000,5590000,6115000,6150000,2284000
