Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,BIH,,,0.115M,0.148M,0.147M,0.171M,0.139M,0.16M,0.165M,0.19M,0.217M,0.256M,0.306M,0.322M,0.311M,0.365M,0.392M,0.439M,0.529M,0.536M,0.678M,0.778M,0.923M,1.053M,1.198M,0.197M
Belarus,BLR,,,,,,2.03M,1.852M,1.907M,1.729M,1.816M,4.738M,5.276M,5.283M,5.262M,4.872M,5.674M,5.877M,6.13M,6.242M,5.375M,4.386M,10.935M,11.06M,11.502M,11.832M,3.598M
Belize,BLZ,0.342M,0.349M,0.305M,0.3M,0.34M,0.374M,0.385M,0.694M,0.999M,1.329M,1.037M,0.903M,0.88M,0.846M,0.941M,1.054M,1.106M,1.028M,1.022M,1.289M,1.299M,1.391M,1.441M,1.697M,1.674M,0.487M
Bermuda,BMU,0.557M,0.57M,0.562M,0.558M,0.549M,0.539M,0.458M,0.484M,0.483M,0.478M,0.517M,0.635M,0.66M,0.55M,0.554M,0.58M,0.652M,0.61M,0.576M,0.58M,0.597M,0.642M,0.688M,0.766M,0.805M,0.051M
Bolivia,BOL,0.284M,0.313M,0.355M,0.387M,0.342M,0.319M,0.316M,0.334M,0.427M,0.48M,0.524M,0.521M,0.573M,0.594M,0.599M,0.679M,0.711M,0.798M,0.798M,0.871M,0.882M,0.961M,1.109M,1.142M,1.239M,0.323M
Brazil,BRA,1.991M,2.666M,2.85M,4.818M,5.107M,5.313M,4.773M,3.785M,4.133M,4.794M,5.358M,5.017M,5.026M,5.05M,4.802M,5.161M,5.433M,5.677M,5.813M,6.43M,6.306M,6.547M,6.589M,6.621M,6.353M,
Barbados,BRB,0.927M,0.957M,0.99M,1.019M,0.947M,1.078M,1.035M,1.021M,1.09M,1.273M,1.111M,1.102M,1.191M,1.165M,1.154M,1.197M,1.187M,1.053M,1.079M,1.079M,1.179M,1.227M,1.345M,1.356M,0.966M,
Brunei Darussalam,BRN,0.498M,0.837M,0.643M,0.964M,0.967M,0.984M,0.84M,0.891M,0.944M,,0.815M,0.836M,0.877M,,,,,,,,,4.257M,4.316M,4.521M,4.449M,1.071M
Bhutan,BTN,0.005M,0.005M,0.005M,0.006M,0.007M,0.008M,0.006M,0.006M,0.006M,0.009M,0.014M,0.017M,0.021M,0.028M,0.023M,0.041M,0.066M,0.105M,0.116M,0.133M,0.155M,0.21M,0.255M,0.274M,0.316M,0.03M
Botswana,BWA,0.636M,0.656M,0.765M,0.94M,1.039M,1.306M,1.451M,1.485M,1.592M,1.727M,1.684M,1.642M,1.965M,2.344M,,,,,,,1.66M,1.712M,1.775M,1.83M,,
Central African Republic,CAF,0.026M,0.021M,0.017M,0.008M,0.01M,0.011M,0.01M,0.003M,0.006M,0.008M,0.012M,0.014M,0.017M,0.031M,0.052M,0.054M,0.065M,0.071M,0.084M,0.096M,0.12M,0.082M,0.107M,0.109M,0.087M,
Canada,CAN,41.657M,43.256M,45.076M,48.064M,49.055M,48.638M,47.147M,44.896M,38.903M,38.845M,36.16M,33.39M,30.373M,27.37M,24.696M,25.621M,25.066M,25.318M,25.167M,25.558M,27.555M,30.142M,31.081M,31.274M,32.43M,
Central Europe and the Baltics,CEB,188.653M,199.136M,203.579M,200.151M,200.063M,206.946M,182.539M,173.51M,177.956M,200.554M,208.136M,215.063M,222.545M,217.002M,205.768M,211.503M,219.665M,230.514M,239.484M,247.177M,265.484M,282.858M,293.8M,301.502M,314.638M,
Switzerland,CHE,6.946M,6.73M,7.039M,7.185M,7.154M,7.821M,7.455M,6.868M,6.53M,,7.229M,7.863M,8.448M,8.608M,8.294M,8.628M,8.534M,8.566M,8.967M,9.158M,9.305M,10.402M,11.133M,11.715M,11.818M,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,3.713M,3.657M,3.584M,3.963M,4.397M,4.457M,4.601M,5.487M,6.712M,7.621M,6.603M,5.431M,
China,CHN,46.387M,51.128M,57.588M,63.478M,72.796M,83.444M,89.013M,97.908M,91.662M,109.038M,120.292M,124.942M,131.873M,130.027M,126.476M,133.762M,135.423M,132.405M,129.078M,128.499M,133.82M,141.774M,153.26M,158.606M,162.538M,30.402M
Cote d'Ivoire,CIV,0.188M,0.237M,0.274M,0.301M,,,,,,,,,0.182M,0.205M,0.231M,0.252M,0.27M,0.289M,0.38M,0.471M,1.441M,1.583M,1.8M,1.965M,2.07M,0.668M
Cameroon,CMR,,,,,,,,,,,,0.451M,0.477M,0.487M,0.498M,0.573M,0.604M,0.817M,0.783M,0.822M,0.897M,0.994M,1.081M,0.997M,1.021M,
"Congo, Dem. Rep.",COD,0.035M,0.037M,0.03M,0.053M,0.08M,0.103M,0.055M,0.028M,0.035M,0.036M,0.061M,0.055M,0.047M,0.05M,0.053M,0.081M,0.186M,0.167M,0.191M,0.334M,0.354M,0.351M,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,0.199M,0.224M,0.259M,0.345M,0.229M,0.224M,0.213M,0.151M,0.158M,,
Colombia,COL,1.433M,0.751M,0.758M,0.823M,0.725M,0.707M,0.788M,0.661M,0.668M,0.84M,0.981M,2.096M,2.381M,2.545M,2.649M,1.701M,2.356M,2.434M,2.595M,2.866M,3.371M,3.675M,4.056M,4.397M,4.531M,1.396M
Comoros,COM,0.023M,0.024M,0.026M,0.027M,0.024M,0.024M,0.019M,0.019M,0.021M,0.023M,0.026M,0.028M,0.015M,0.015M,0.011M,0.015M,0.019M,0.023M,0.022M,0.023M,0.024M,0.027M,0.028M,0.036M,0.045M,0.007M
Cabo Verde,CPV,0.028M,0.037M,0.045M,0.052M,0.067M,0.115M,0.134M,0.126M,0.15M,0.157M,0.198M,0.242M,0.267M,0.285M,0.287M,0.336M,0.428M,0.482M,0.503M,0.494M,0.52M,0.598M,0.668M,0.71M,0.758M,0.18M
Costa Rica,CRI,0.924M,0.94M,1.013M,1.167M,1.267M,1.278M,1.32M,1.335M,1.514M,1.771M,1.959M,2.071M,2.302M,2.409M,2.309M,2.495M,2.526M,2.542M,2.641M,2.76M,2.899M,3.204M,3.231M,3.313M,3.366M,1.146M
Caribbean small states,CSS,8.608M,9.028M,9.357M,9.483M,9.901M,11.115M,10.923M,11.075M,12.223M,13.944M,13.152M,13.524M,13.774M,13.494M,14.132M,14.853M,15.421M,15.54M,15.674M,16.644M,17.2M,17.638M,18.488M,19.67M,19.819M,
Cuba,CUB,0.745M,1.004M,1.17M,1.416M,1.603M,1.774M,1.775M,1.686M,1.906M,2.049M,2.319M,2.221M,2.152M,2.348M,2.43M,2.532M,2.716M,2.847M,2.862M,3.014M,3.54M,4.009M,4.654M,4.712M,4.276M,1.086M
Curacao,CUW,0.396M,0.387M,0.422M,0.437M,0.433M,0.514M,0.519M,0.545M,0.508M,0.452M,0.51M,0.572M,0.664M,0.773M,0.808M,0.762M,0.837M,0.908M,1.071M,1.129M,1.072M,0.944M,1.058M,1.21M,1.293M,
Cayman Islands,CYM,1.044M,1.173M,1.248M,1.275M,1.431M,1.385M,1.549M,1.878M,2.113M,1.953M,1.967M,2.197M,2.008M,1.856M,1.792M,1.886M,1.71M,1.829M,1.721M,1.993M,2.102M,2.097M,2.147M,2.384M,2.334M,0.66M
Cyprus,CYP,2.253M,2.089M,2.194M,2.357M,2.578M,2.912M,2.841M,2.495M,2.416M,2.478M,2.657M,2.629M,2.671M,2.631M,2.37M,2.45M,2.626M,2.635M,2.626M,2.558M,2.78M,3.286M,3.75M,4.024M,4.117M,
Czechia,CZE,,,,,,,,,20.108M,23.808M,24.747M,25.102M,22.625M,21.85M,23.285M,21.941M,22.81M,25.75M,26.332M,27.166M,29.604M,32.519M,34.701M,36.268M,37.202M,
Germany,DEU,14.847M,15.205M,15.837M,16.511M,17.116M,18.983M,17.861M,17.969M,18.399M,20.137M,21.5M,23.569M,24.421M,24.884M,24.22M,26.875M,28.374M,30.411M,31.545M,32.999M,34.97M,35.555M,37.452M,38.881M,39.563M,12.449M
Djibouti,DJI,0.021M,0.02M,0.02M,0.021M,0.021M,0.02M,0.022M,0.022M,0.023M,0.026M,0.03M,0.04M,0.04M,0.054M,0.058M,0.051M,0.056M,0.06M,0.063M,,,,,,,
Dominica,DMA,0.203M,0.261M,0.299M,0.312M,0.28M,0.312M,0.276M,0.208M,0.254M,0.466M,0.381M,0.465M,0.437M,0.468M,0.608M,0.595M,0.418M,0.348M,0.311M,0.37M,0.358M,0.356M,0.23M,0.199M,0.322M,0.14M
Denmark,DNK,,,,,,,,,21.119M,22.054M,26.927M,26.936M,27.138M,26.87M,26.571M,26.73M,25.811M,26.402M,26.516M,28.07M,28.209M,28.692M,30.736M,30.801M,33.093M,15.595M
Dominican Republic,DOM,1.806M,2.037M,2.482M,2.702M,2.932M,3.161M,3.09M,3.058M,3.68M,3.907M,3.981M,4.268M,4.365M,4.455M,4.489M,4.478M,4.654M,4.901M,5.114M,5.576M,6.129M,6.769M,7.296M,7.551M,7.55M,2.748M
Algeria,DZA,0.52M,0.605M,0.635M,0.678M,0.749M,0.866M,0.901M,0.988M,1.166M,1.234M,1.443M,1.638M,1.743M,1.772M,1.912M,2.07M,2.395M,2.634M,2.733M,2.301M,1.71M,2.039M,2.451M,2.657M,2.371M,0.591M
East Asia & Pacific (excluding high income),EAP,70.698M,77.174M,83.286M,88.454M,101.735M,116.41M,125.452M,136.49M,125.706M,152.728M,165.948M,174.722M,188.387M,188.916M,186.368M,200.103M,208.058M,211.756M,217.301M,219.5M,232.372M,246.129M,267.094M,281.13M,292.842M,
Early-demographic dividend,EAR,163.203M,170.264M,174.864M,177.704M,181.006M,190.532M,184.897M,190.887M,186.159M,208.858M,220.351M,222.513M,237.448M,253.966M,245.231M,260.218M,251.178M,266.77M,276.291M,298.03M,305.091M,301.877M,326.788M,350.577M,369.337M,
East Asia & Pacific,EAS,112.957M,124.181M,127.838M,130.699M,147.606M,168.455M,178.795M,194.873M,180.513M,224.751M,243.812M,259.502M,283.353M,281.4M,276.931M,306.945M,324.631M,341.732M,359.795M,378.068M,395.583M,422.31M,449.587M,480.202M,490.804M,
Europe & Central Asia (excluding high income),ECA,41.255M,47.928M,60.731M,53.958M,53.587M,61.157M,63.741M,69.762M,73.537M,83.794M,92.511M,95.696M,113.529M,123.904M,115.245M,119.087M,132.499M,142.151M,151.065M,140.838M,142.759M,134.101M,149.457M,169.085M,180.88M,
Europe & Central Asia,ECS,610.099M,647.081M,685.14M,695.696M,706.816M,746.29M,714.973M,723.772M,736.934M,784.677M,815.823M,854.328M,883.816M,884.796M,854.438M,869.779M,918.783M,944.561M,980.014M,997.037M,1026.805M,1055.432M,1112.981M,1157.868M,1199.188M,
Ecuador,ECU,0.44M,0.494M,0.529M,0.511M,0.518M,0.627M,0.641M,0.683M,0.761M,0.819M,0.86M,0.841M,0.937M,1.005M,0.968M,1.047M,1.141M,1.272M,1.364M,1.695M,1.676M,1.569M,1.806M,2.535M,2.108M,
"Egypt, Arab Rep.",EGY,3.133M,3.896M,3.961M,3.454M,4.797M,5.506M,4.648M,5.192M,6.044M,8.104M,8.608M,9.083M,11.091M,12.835M,12.536M,14.731M,9.845M,11.532M,9.464M,9.878M,9.328M,5.399M,8.292M,11.346M,13.026M,
Euro area,EMU,,,,,,,,,,453.62M,462.527M,489.625M,494.728M,495.769M,483.881M,491.73M,514.734M,520.092M,539.066M,555.108M,571.048M,590.598M,617.852M,638.608M,655.573M,
Eritrea,ERI,0.315M,0.417M,0.41M,0.188M,0.057M,0.07M,0.113M,0.101M,0.08M,0.087M,0.083M,0.078M,0.081M,0.07M,0.079M,0.084M,0.107M,0.129M,0.141M,0.119M,0.114M,0.142M,,,,
Spain,ESP,52.46M,55.077M,62.415M,68.068M,72.04M,74.58M,75.564M,79.313M,82.326M,85.981M,92.563M,96.152M,98.907M,97.67M,91.899M,93.744M,99.187M,98.128M,103.231M,107.144M,109.834M,115.561M,121.717M,124.456M,126.17M,36.41M
Estonia,EST,2.111M,2.444M,2.618M,2.909M,3.181M,3.31M,3.23M,3.253M,3.378M,,,,,3.828M,3.834M,4.369M,4.907M,5.007M,5.737M,5.804M,5.696M,5.942M,6.145M,6.033M,6.103M,1.695M
Ethiopia,ETH,0.103M,0.109M,0.139M,0.112M,0.115M,0.136M,0.148M,0.156M,0.18M,0.184M,0.227M,0.33M,0.358M,0.383M,0.427M,0.468M,0.523M,0.597M,0.681M,0.77M,0.864M,0.871M,0.933M,0.849M,0.812M,0.518M
European Union,EUU,543.502M,568.078M,592.858M,608.641M,622.202M,650.173M,616.082M,615.268M,625.662M,658.493M,678.885M,711.023M,723.201M,717.085M,695.775M,708.411M,743.016M,759.682M,784.371M,809.619M,835.937M,870.371M,910.869M,938.486M,968.873M,
Fragile and conflict affected situations,FCS,10.766M,11.567M,10.979M,11.909M,12.5M,13.33M,14.607M,16.446M,17.35M,19.976M,20.088M,21.664M,25.383M,29.047M,31.567M,36.919M,30.416M,32.472M,33.261M,,,,,,,
Finland,FIN,1.779M,1.724M,1.832M,2.644M,2.454M,2.714M,2.826M,2.875M,2.601M,2.84M,3.14M,3.375M,3.519M,3.583M,3.423M,3.67M,4.192M,4.226M,2.797M,2.731M,2.622M,2.789M,3.18M,3.224M,3.29M,0.896M
Fiji,FJI,0.476M,0.534M,0.547M,0.499M,0.544M,0.434M,0.446M,0.461M,0.451M,0.513M,0.547M,,0.542M,0.627M,0.605M,0.692M,0.734M,0.741M,0.769M,0.781M,0.869M,0.963M,1.027M,1.058M,0.969M,0.168M
France,FRA,,148.263M,157.551M,,,,,,,190.282M,185.829M,193.882M,193.319M,193.571M,192.369M,189.826M,196.595M,197.522M,204.41M,206.599M,203.302M,203.042M,207.274M,211.998M,217.877M,117.109M
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,0.018M,0.017M,0.013M,0.016M,0.02M,0.015M,0.019M,0.018M,0.019M,0.019M,0.019M,0.021M,0.026M,0.048M,0.045M,0.035M,0.038M,0.042M,0.035M,0.031M,0.03M,,0.019M,0.018M,
Gabon,GAB,0.203M,0.217M,0.247M,0.274M,0.262M,0.23M,0.236M,0.269M,0.234M,0.351M,0.526M,,,,,,,,,,,,,,,
United Kingdom,GBR,23.537M,25.163M,25.515M,25.745M,25.394M,25.209M,22.835M,24.18M,24.715M,27.755M,29.97M,32.713M,32.778M,31.888M,31.072M,30.398M,31.886M,32.221M,33.567M,35.337M,36.792M,39.129M,41.08M,40.283M,40.857M,11.101M
Georgia,GEO,0.085M,0.117M,0.313M,0.317M,0.384M,0.387M,0.302M,0.298M,0.313M,0.368M,0.56M,0.983M,1.052M,1.29M,1.5M,2.032M,2.712M,4.106M,4.954M,5.004M,5.256M,5.393M,6.483M,7.203M,7.726M,1.513M
Ghana,GHA,0.286M,0.305M,0.325M,0.348M,0.373M,0.399M,0.439M,0.483M,0.531M,0.584M,0.429M,0.497M,0.587M,0.698M,0.803M,0.931M,0.821M,0.903M,0.994M,0.825M,0.897M,,,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,0.012M,0.017M,0.023M,0.027M,0.033M,0.038M,0.043M,0.044M,0.045M,0.045M,0.046M,0.03M,0.024M,,0.012M,0.131M,0.096M,0.056M,0.033M,0.035M,0.063M,0.099M,,,
"Gambia, The",GMB,0.045M,0.077M,0.085M,0.091M,0.096M,0.079M,0.057M,0.081M,0.089M,0.09M,0.108M,0.125M,0.143M,0.147M,0.142M,0.091M,0.106M,0.157M,0.171M,0.156M,0.449M,0.45M,0.522M,0.552M,0.62M,0.246M
Guinea-Bissau,GNB,,,,,,,0.008M,,,,0.005M,0.012M,0.016M,0.018M,0.016M,0.022M,0.037M,0.035M,0.036M,0.036M,0.044M,0.045M,0.05M,0.055M,0.052M,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,10.712M,9.782M,10.588M,11.364M,12.606M,13.567M,14.678M,14.918M,14.785M,14.268M,15.938M,17.284M,,,,,,,20.112M,24.272M,26.114M,28.071M,30.161M,33.072M,34.005M,7.406M
Grenada,GRD,0.369M,0.386M,0.368M,0.392M,0.379M,0.316M,0.277M,0.271M,0.294M,0.37M,0.38M,0.342M,0.406M,0.428M,0.46M,0.445M,0.447M,0.37M,0.327M,0.387M,0.437M,0.474M,0.468M,0.529M,0.526M,0.217M
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,0.563M,0.52M,0.576M,0.636M,0.823M,0.826M,0.835M,0.884M,0.88M,1.182M,1.316M,1.502M,1.628M,1.715M,1.311M,1.384M,1.434M,1.491M,1.516M,1.739M,1.865M,1.906M,2.12M,2.406M,2.56M,0.594M
Guam,GUM,1.362M,1.373M,1.382M,1.137M,1.162M,1.287M,1.159M,1.059M,0.91M,1.16M,1.228M,1.212M,1.225M,1.142M,1.053M,1.197M,1.16M,1.308M,1.334M,1.343M,1.409M,1.536M,1.545M,1.549M,1.667M,0.328M
Guyana,GUY,0.106M,0.092M,0.076M,0.066M,0.075M,0.105M,0.099M,0.104M,0.101M,0.122M,0.117M,0.113M,0.134M,0.13M,0.141M,0.152M,0.157M,0.177M,0.2M,0.206M,0.207M,0.235M,0.247M,0.287M,0.315M,0.086M
High income,HIC,790.212M,829.886M,856.25M,866.37M,886.282M,929.784M,884.987M,879.166M,871.624M,939.596M,969.91M,1128.257M,1143.132M,1134.881M,1087.553M,1124.272M,1153.168M,1215.901M,1266.071M,1315.758M,1349.915M,1403.51M,1453.128M,1491.87M,1522.43M,
"Hong Kong SAR, China",HKG,10.2M,12.974M,11.273M,10.16M,11.328M,13.059M,13.725M,16.566M,15.537M,21.811M,23.359M,25.251M,28.169M,29.507M,29.591M,36.03M,41.921M,48.615M,54.299M,60.839M,59.308M,56.655M,58.472M,65.148M,55.913M,3.569M
Honduras,HND,,0.271M,0.31M,0.324M,0.428M,0.689M,0.672M,0.788M,0.887M,1.026M,1.118M,1.136M,1.309M,1.561M,1.589M,1.965M,1.852M,1.903M,1.857M,2.082M,2.093M,2.228M,2.144M,2.323M,2.315M,0.669M
Heavily indebted poor countries (HIPC),HPC,,5.75M,6.186M,6.328M,7.116M,7.779M,8.16M,9.043M,9.193M,10.21M,11.488M,12.898M,14.614M,15.476M,15.906M,17.437M,19.069M,20.446M,21.286M,21.852M,23.619M,25.289M,27.119M,29.458M,29.135M,
Croatia,HRV,16.1M,19.085M,23.66M,25.499M,29.215M,37.226M,40.129M,41.737M,42.857M,44.974M,45.762M,47.733M,52.271M,51.336M,47.573M,49.006M,49.969M,47.185M,48.345M,51.168M,55.858M,57.587M,59.238M,57.668M,60.021M,21.608M
Haiti,HTI,0.37M,0.4M,0.387M,0.393M,0.386M,0.445M,0.499M,0.482M,0.518M,0.385M,0.48M,0.558M,0.868M,0.758M,0.826M,0.793M,0.946M,0.959M,1.064M,1.128M,1.19M,1.153M,1.262M,1.333M,0.938M,
Hungary,HUN,39.24M,39.833M,37.315M,33.624M,28.803M,31.141M,30.679M,31.739M,31.412M,33.934M,36.173M,38.318M,39.379M,39.554M,40.624M,39.904M,41.304M,43.565M,43.611M,45.984M,48.345M,52.89M,54.962M,57.667M,61.397M,31.641M
IBRD only,IBD,356.803M,381.712M,407.772M,414.169M,437.117M,468.296M,453.338M,461.401M,453.204M,519.447M,553.668M,569.029M,606.513M,614.738M,588.744M,618.728M,631.384M,653.441M,674.499M,683.101M,710.625M,732.382M,787.599M,823.989M,852.167M,
IDA & IBRD total,IBT,385.651M,413.555M,441.764M,449.512M,474.501M,508.312M,493.824M,504.228M,496.86M,569.824M,606.223M,626.142M,671.923M,683.771M,659.262M,695.223M,706.71M,733.807M,759.074M,771.436M,805.369M,826.248M,889.465M,939.01M,974.463M,
IDA total,IDA,15.731M,17.911M,19.106M,20.294M,21.509M,23.005M,24.183M,26.352M,27.592M,31.98M,32.888M,37.121M,44.274M,47.671M,50.223M,55.256M,53.614M,58.251M,62.02M,65.942M,71.927M,71.606M,78.202M,93.09M,100.914M,
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,4.324M,5.034M,5.185M,4.606M,4.728M,5.064M,5.153M,5.033M,4.467M,5.321M,5.002M,4.871M,5.506M,6.234M,6.324M,7.003M,7.65M,8.044M,8.802M,9.435M,10.407M,11.519M,14.04M,15.81M,16.107M,4.053M
IDA only,IDX,8.091M,9.357M,9.636M,9.988M,10.993M,12.505M,13.101M,15.035M,15.536M,18.458M,19.225M,21.222M,24.248M,27.425M,28.67M,32.649M,32.417M,35.989M,40.041M,42.827M,46.443M,46.337M,50.309M,58.328M,63.144M,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,2.124M,2.288M,2.374M,2.359M,2.482M,2.649M,2.537M,2.384M,2.726M,3.457M,3.919M,4.447M,5.082M,5.283M,5.168M,5.776M,6.309M,6.578M,6.968M,13.107M,13.284M,14.57M,15.543M,17.423M,17.914M,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,4.818M,5.289M,5.587M,6.064M,6.403M,6.646M,6.353M,6.476M,6.764M,6.953M,7.333M,8.001M,8.332M,8.026M,7.189M,7.134M,7.63M,7.55M,8.26M,8.813M,9.528M,10.1M,10.338M,10.926M,10.951M,
