Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,BLR,,,,,,2030k,1852k,1907k,1729k,1816k,4738k,5276k,5283k,5262k,4872k,5674k,5877k,6130k,6242k,5375k,4386k,10935k,11060k,11502k,11832k,3598k
Belize,BLZ,342k,349k,305k,300k,340k,374k,385k,694k,999k,1329k,1037k,903k,880k,846k,941k,1054k,1106k,1028k,1022k,1289k,1299k,1391k,1441k,1697k,1674k,487k
Bermuda,BMU,557k,570k,562k,558k,549k,539k,458k,484k,483k,478k,517k,635k,660k,550k,554k,580k,652k,610k,576k,580k,597k,642k,688k,766k,805k,51k
Bolivia,BOL,284k,313k,355k,387k,342k,319k,316k,334k,427k,480k,524k,521k,573k,594k,599k,679k,711k,798k,798k,871k,882k,961k,1109k,1142k,1239k,323k
Brazil,BRA,1991k,2666k,2850k,4818k,5107k,5313k,4773k,3785k,4133k,4794k,5358k,5017k,5026k,5050k,4802k,5161k,5433k,5677k,5813k,6430k,6306k,6547k,6589k,6621k,6353k,
Barbados,BRB,927k,957k,990k,1019k,947k,1078k,1035k,1021k,1090k,1273k,1111k,1102k,1191k,1165k,1154k,1197k,1187k,1053k,1079k,1079k,1179k,1227k,1345k,1356k,966k,
Brunei Darussalam,BRN,498k,837k,643k,964k,967k,984k,840k,891k,944k,,815k,836k,877k,,,,,,,,,4257k,4316k,4521k,4449k,1071k
Bhutan,BTN,5k,5k,5k,6k,7k,8k,6k,6k,6k,9k,14k,17k,21k,28k,23k,41k,66k,105k,116k,133k,155k,210k,255k,274k,316k,30k
Botswana,BWA,636k,656k,765k,940k,1039k,1306k,1451k,1485k,1592k,1727k,1684k,1642k,1965k,2344k,,,,,,,1660k,1712k,1775k,1830k,,
Central African Republic,CAF,26k,21k,17k,8k,10k,11k,10k,3k,6k,8k,12k,14k,17k,31k,52k,54k,65k,71k,84k,96k,120k,82k,107k,109k,87k,
Canada,CAN,41657k,43256k,45076k,48064k,49055k,48638k,47147k,44896k,38903k,38845k,36160k,33390k,30373k,27370k,24696k,25621k,25066k,25318k,25167k,25558k,27555k,30142k,31081k,31274k,32430k,
Central Europe and the Baltics,CEB,188653k,199136k,203579k,200151k,200063k,206946k,182539k,173510k,177956k,200554k,208136k,215063k,222545k,217002k,205768k,211503k,219665k,230514k,239484k,247177k,265484k,282858k,293800k,301502k,314638k,
Switzerland,CHE,6946k,6730k,7039k,7185k,7154k,7821k,7455k,6868k,6530k,,7229k,7863k,8448k,8608k,8294k,8628k,8534k,8566k,8967k,9158k,9305k,10402k,11133k,11715k,11818k,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,3713k,3657k,3584k,3963k,4397k,4457k,4601k,5487k,6712k,7621k,6603k,5431k,
China,CHN,46387k,51128k,57588k,63478k,72796k,83444k,89013k,97908k,91662k,109038k,120292k,124942k,131873k,130027k,126476k,133762k,135423k,132405k,129078k,128499k,133820k,141774k,153260k,158606k,162538k,30402k
Cote d'Ivoire,CIV,188k,237k,274k,301k,,,,,,,,,182k,205k,231k,252k,270k,289k,380k,471k,1441k,1583k,1800k,1965k,2070k,668k
Cameroon,CMR,,,,,,,,,,,,451k,477k,487k,498k,573k,604k,817k,783k,822k,897k,994k,1081k,997k,1021k,
"Congo, Dem. Rep.",COD,35k,37k,30k,53k,80k,103k,55k,28k,35k,36k,61k,55k,47k,50k,53k,81k,186k,167k,191k,334k,354k,351k,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,199k,224k,259k,345k,229k,224k,213k,151k,158k,,
Colombia,COL,1433k,751k,758k,823k,725k,707k,788k,661k,668k,840k,981k,2096k,2381k,2545k,2649k,1701k,2356k,2434k,2595k,2866k,3371k,3675k,4056k,4397k,4531k,1396k
Comoros,COM,23k,24k,26k,27k,24k,24k,19k,19k,21k,23k,26k,28k,15k,15k,11k,15k,19k,23k,22k,23k,24k,27k,28k,36k,45k,7k
Cabo Verde,CPV,28k,37k,45k,52k,67k,115k,134k,126k,150k,157k,198k,242k,267k,285k,287k,336k,428k,482k,503k,494k,520k,598k,668k,710k,758k,180k
Costa Rica,CRI,924k,940k,1013k,1167k,1267k,1278k,1320k,1335k,1514k,1771k,1959k,2071k,2302k,2409k,2309k,2495k,2526k,2542k,2641k,2760k,2899k,3204k,3231k,3313k,3366k,1146k
Caribbean small states,CSS,8608k,9028k,9357k,9483k,9901k,11115k,10923k,11075k,12223k,13944k,13152k,13524k,13774k,13494k,14132k,14853k,15421k,15540k,15674k,16644k,17200k,17638k,18488k,19670k,19819k,
Cuba,CUB,745k,1004k,1170k,1416k,1603k,1774k,1775k,1686k,1906k,2049k,2319k,2221k,2152k,2348k,2430k,2532k,2716k,2847k,2862k,3014k,3540k,4009k,4654k,4712k,4276k,1086k
Curacao,CUW,396k,387k,422k,437k,433k,514k,519k,545k,508k,452k,510k,572k,664k,773k,808k,762k,837k,908k,1071k,1129k,1072k,944k,1058k,1210k,1293k,
Cayman Islands,CYM,1044k,1173k,1248k,1275k,1431k,1385k,1549k,1878k,2113k,1953k,1967k,2197k,2008k,1856k,1792k,1886k,1710k,1829k,1721k,1993k,2102k,2097k,2147k,2384k,2334k,660k
Cyprus,CYP,2253k,2089k,2194k,2357k,2578k,2912k,2841k,2495k,2416k,2478k,2657k,2629k,2671k,2631k,2370k,2450k,2626k,2635k,2626k,2558k,2780k,3286k,3750k,4024k,4117k,
Czechia,CZE,,,,,,,,,20108k,23808k,24747k,25102k,22625k,21850k,23285k,21941k,22810k,25750k,26332k,27166k,29604k,32519k,34701k,36268k,37202k,
Germany,DEU,14847k,15205k,15837k,16511k,17116k,18983k,17861k,17969k,18399k,20137k,21500k,23569k,24421k,24884k,24220k,26875k,28374k,30411k,31545k,32999k,34970k,35555k,37452k,38881k,39563k,12449k
Djibouti,DJI,21k,20k,20k,21k,21k,20k,22k,22k,23k,26k,30k,40k,40k,54k,58k,51k,56k,60k,63k,,,,,,,
Dominica,DMA,203k,261k,299k,312k,280k,312k,276k,208k,254k,466k,381k,465k,437k,468k,608k,595k,418k,348k,311k,370k,358k,356k,230k,199k,322k,140k
Denmark,DNK,,,,,,,,,21119k,22054k,26927k,26936k,27138k,26870k,26571k,26730k,25811k,26402k,26516k,28070k,28209k,28692k,30736k,30801k,33093k,15595k
Dominican Republic,DOM,1806k,2037k,2482k,2702k,2932k,3161k,3090k,3058k,3680k,3907k,3981k,4268k,4365k,4455k,4489k,4478k,4654k,4901k,5114k,5576k,6129k,6769k,7296k,7551k,7550k,2748k
Algeria,DZA,520k,605k,635k,678k,749k,866k,901k,988k,1166k,1234k,1443k,1638k,1743k,1772k,1912k,2070k,2395k,2634k,2733k,2301k,1710k,2039k,2451k,2657k,2371k,591k
East Asia & Pacific (excluding high income),EAP,70698k,77174k,83286k,88454k,101735k,116410k,125452k,136490k,125706k,152728k,165948k,174722k,188387k,188916k,186368k,200103k,208058k,211756k,217301k,219500k,232372k,246129k,267094k,281130k,292842k,
Early-demographic dividend,EAR,163203k,170264k,174864k,177704k,181006k,190532k,184897k,190887k,186159k,208858k,220351k,222513k,237448k,253966k,245231k,260218k,251178k,266770k,276291k,298030k,305091k,301877k,326788k,350577k,369337k,
East Asia & Pacific,EAS,112957k,124181k,127838k,130699k,147606k,168455k,178795k,194873k,180513k,224751k,243812k,259502k,283353k,281400k,276931k,306945k,324631k,341732k,359795k,378068k,395583k,422310k,449587k,480202k,490804k,
Europe & Central Asia (excluding high income),ECA,41255k,47928k,60731k,53958k,53587k,61157k,63741k,69762k,73537k,83794k,92511k,95696k,113529k,123904k,115245k,119087k,132499k,142151k,151065k,140838k,142759k,134101k,149457k,169085k,180880k,
Europe & Central Asia,ECS,610099k,647081k,685140k,695696k,706816k,746290k,714973k,723772k,736934k,784677k,815823k,854328k,883816k,884796k,854438k,869779k,918783k,944561k,980014k,997037k,1026805k,1055432k,1112981k,1157868k,1199188k,
Ecuador,ECU,440k,494k,529k,511k,518k,627k,641k,683k,761k,819k,860k,841k,937k,1005k,968k,1047k,1141k,1272k,1364k,1695k,1676k,1569k,1806k,2535k,2108k,
"Egypt, Arab Rep.",EGY,3133k,3896k,3961k,3454k,4797k,5506k,4648k,5192k,6044k,8104k,8608k,9083k,11091k,12835k,12536k,14731k,9845k,11532k,9464k,9878k,9328k,5399k,8292k,11346k,13026k,
Euro area,EMU,,,,,,,,,,453620k,462527k,489625k,494728k,495769k,483881k,491730k,514734k,520092k,539066k,555108k,571048k,590598k,617852k,638608k,655573k,
Eritrea,ERI,315k,417k,410k,188k,57k,70k,113k,101k,80k,87k,83k,78k,81k,70k,79k,84k,107k,129k,141k,119k,114k,142k,,,,
Spain,ESP,52460k,55077k,62415k,68068k,72040k,74580k,75564k,79313k,82326k,85981k,92563k,96152k,98907k,97670k,91899k,93744k,99187k,98128k,103231k,107144k,109834k,115561k,121717k,124456k,126170k,36410k
Estonia,EST,2111k,2444k,2618k,2909k,3181k,3310k,3230k,3253k,3378k,,,,,3828k,3834k,4369k,4907k,5007k,5737k,5804k,5696k,5942k,6145k,6033k,6103k,1695k
Ethiopia,ETH,103k,109k,139k,112k,115k,136k,148k,156k,180k,184k,227k,330k,358k,383k,427k,468k,523k,597k,681k,770k,864k,871k,933k,849k,812k,518k
European Union,EUU,543502k,568078k,592858k,608641k,622202k,650173k,616082k,615268k,625662k,658493k,678885k,711023k,723201k,717085k,695775k,708411k,743016k,759682k,784371k,809619k,835937k,870371k,910869k,938486k,968873k,
Fragile and conflict affected situations,FCS,10766k,11567k,10979k,11909k,12500k,13330k,14607k,16446k,17350k,19976k,20088k,21664k,25383k,29047k,31567k,36919k,30416k,32472k,33261k,,,,,,,
Finland,FIN,1779k,1724k,1832k,2644k,2454k,2714k,2826k,2875k,2601k,2840k,3140k,3375k,3519k,3583k,3423k,3670k,4192k,4226k,2797k,2731k,2622k,2789k,3180k,3224k,3290k,896k
Fiji,FJI,476k,534k,547k,499k,544k,434k,446k,461k,451k,513k,547k,,542k,627k,605k,692k,734k,741k,769k,781k,869k,963k,1027k,1058k,969k,168k
France,FRA,,148263k,157551k,,,,,,,190282k,185829k,193882k,193319k,193571k,192369k,189826k,196595k,197522k,204410k,206599k,203302k,203042k,207274k,211998k,217877k,117109k
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,18k,17k,13k,16k,20k,15k,19k,18k,19k,19k,19k,21k,26k,48k,45k,35k,38k,42k,35k,31k,30k,,19k,18k,
Gabon,GAB,203k,217k,247k,274k,262k,230k,236k,269k,234k,351k,526k,,,,,,,,,,,,,,,
United Kingdom,GBR,23537k,25163k,25515k,25745k,25394k,25209k,22835k,24180k,24715k,27755k,29970k,32713k,32778k,31888k,31072k,30398k,31886k,32221k,33567k,35337k,36792k,39129k,41080k,40283k,40857k,11101k
Georgia,GEO,85k,117k,313k,317k,384k,387k,302k,298k,313k,368k,560k,983k,1052k,1290k,1500k,2032k,2712k,4106k,4954k,5004k,5256k,5393k,6483k,7203k,7726k,1513k
Ghana,GHA,286k,305k,325k,348k,373k,399k,439k,483k,531k,584k,429k,497k,587k,698k,803k,931k,821k,903k,994k,825k,897k,,,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,12k,17k,23k,27k,33k,38k,43k,44k,45k,45k,46k,30k,24k,,12k,131k,96k,56k,33k,35k,63k,99k,,,
"Gambia, The",GMB,45k,77k,85k,91k,96k,79k,57k,81k,89k,90k,108k,125k,143k,147k,142k,91k,106k,157k,171k,156k,449k,450k,522k,552k,620k,246k
Guinea-Bissau,GNB,,,,,,,8k,,,,5k,12k,16k,18k,16k,22k,37k,35k,36k,36k,44k,45k,50k,55k,52k,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,10712k,9782k,10588k,11364k,12606k,13567k,14678k,14918k,14785k,14268k,15938k,17284k,,,,,,,20112k,24272k,26114k,28071k,30161k,33072k,34005k,7406k
Grenada,GRD,369k,386k,368k,392k,379k,316k,277k,271k,294k,370k,380k,342k,406k,428k,460k,445k,447k,370k,327k,387k,437k,474k,468k,529k,526k,217k
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,563k,520k,576k,636k,823k,826k,835k,884k,880k,1182k,1316k,1502k,1628k,1715k,1311k,1384k,1434k,1491k,1516k,1739k,1865k,1906k,2120k,2406k,2560k,594k
Guam,GUM,1362k,1373k,1382k,1137k,1162k,1287k,1159k,1059k,910k,1160k,1228k,1212k,1225k,1142k,1053k,1197k,1160k,1308k,1334k,1343k,1409k,1536k,1545k,1549k,1667k,328k
Guyana,GUY,106k,92k,76k,66k,75k,105k,99k,104k,101k,122k,117k,113k,134k,130k,141k,152k,157k,177k,200k,206k,207k,235k,247k,287k,315k,86k
High income,HIC,790212k,829886k,856250k,866370k,886282k,929784k,884987k,879166k,871624k,939596k,969910k,1128257k,1143132k,1134881k,1087553k,1124272k,1153168k,1215901k,1266071k,1315758k,1349915k,1403510k,1453128k,1491870k,1522430k,
"Hong Kong SAR, China",HKG,10200k,12974k,11273k,10160k,11328k,13059k,13725k,16566k,15537k,21811k,23359k,25251k,28169k,29507k,29591k,36030k,41921k,48615k,54299k,60839k,59308k,56655k,58472k,65148k,55913k,3569k
Honduras,HND,,271k,310k,324k,428k,689k,672k,788k,887k,1026k,1118k,1136k,1309k,1561k,1589k,1965k,1852k,1903k,1857k,2082k,2093k,2228k,2144k,2323k,2315k,669k
Heavily indebted poor countries (HIPC),HPC,,5750k,6186k,6328k,7116k,7779k,8160k,9043k,9193k,10210k,11488k,12898k,14614k,15476k,15906k,17437k,19069k,20446k,21286k,21852k,23619k,25289k,27119k,29458k,29135k,
Croatia,HRV,16100k,19085k,23660k,25499k,29215k,37226k,40129k,41737k,42857k,44974k,45762k,47733k,52271k,51336k,47573k,49006k,49969k,47185k,48345k,51168k,55858k,57587k,59238k,57668k,60021k,21608k
Haiti,HTI,370k,400k,387k,393k,386k,445k,499k,482k,518k,385k,480k,558k,868k,758k,826k,793k,946k,959k,1064k,1128k,1190k,1153k,1262k,1333k,938k,
Hungary,HUN,39240k,39833k,37315k,33624k,28803k,31141k,30679k,31739k,31412k,33934k,36173k,38318k,39379k,39554k,40624k,39904k,41304k,43565k,43611k,45984k,48345k,52890k,54962k,57667k,61397k,31641k
IBRD only,IBD,356803k,381712k,407772k,414169k,437117k,468296k,453338k,461401k,453204k,519447k,553668k,569029k,606513k,614738k,588744k,618728k,631384k,653441k,674499k,683101k,710625k,732382k,787599k,823989k,852167k,
IDA & IBRD total,IBT,385651k,413555k,441764k,449512k,474501k,508312k,493824k,504228k,496860k,569824k,606223k,626142k,671923k,683771k,659262k,695223k,706710k,733807k,759074k,771436k,805369k,826248k,889465k,939010k,974463k,
IDA total,IDA,15731k,17911k,19106k,20294k,21509k,23005k,24183k,26352k,27592k,31980k,32888k,37121k,44274k,47671k,50223k,55256k,53614k,58251k,62020k,65942k,71927k,71606k,78202k,93090k,100914k,
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,4324k,5034k,5185k,4606k,4728k,5064k,5153k,5033k,4467k,5321k,5002k,4871k,5506k,6234k,6324k,7003k,7650k,8044k,8802k,9435k,10407k,11519k,14040k,15810k,16107k,4053k
IDA only,IDX,8091k,9357k,9636k,9988k,10993k,12505k,13101k,15035k,15536k,18458k,19225k,21222k,24248k,27425k,28670k,32649k,32417k,35989k,40041k,42827k,46443k,46337k,50309k,58328k,63144k,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,2124k,2288k,2374k,2359k,2482k,2649k,2537k,2384k,2726k,3457k,3919k,4447k,5082k,5283k,5168k,5776k,6309k,6578k,6968k,13107k,13284k,14570k,15543k,17423k,17914k,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,4818k,5289k,5587k,6064k,6403k,6646k,6353k,6476k,6764k,6953k,7333k,8001k,8332k,8026k,7189k,7134k,7630k,7550k,8260k,8813k,9528k,10100k,10338k,10926k,10951k,
"Iran, Islamic Rep.",IRN,452k,573k,764k,1008k,1321k,1342k,1402k,1585k,1546k,1659k,1889k,2735k,2219k,2034k,2116k,2938k,3354k,3834k,4769k,4968k,5237k,4942k,4867k,7295k,9107k,1550k
Iraq,IRQ,61k,51k,15k,45k,30k,78k,127k,,,,,,,864k,1262k,1518k,1510k,1111k,892k,,,,,,,
Iceland,ISL,211k,223k,223k,255k,281k,328k,329k,315k,348k,405k,429k,477k,539k,561k,563k,559k,628k,765k,900k,1102k,1389k,1891k,2353k,2488k,2202k,488k
Israel,ISR,2530k,2360k,2295k,2200k,2566k,2672k,1219k,862k,,1506k,1916k,1834k,2294k,3034k,2740k,3444k,3362k,3520k,3540k,3251k,3109k,3070k,3863k,4389k,4905k,
Italy,ITA,55706k,59805k,57998k,58499k,59521k,62702k,60960k,63561k,63026k,58480k,59230k,66353k,70271k,70719k,71692k,73225k,75866k,76293k,76762k,77694k,81068k,84925k,89931k,93229k,95399k,38419k
Jamaica,JAM,1752k,1821k,1904k,1899k,2013k,2230k,2117k,2131k,2483k,2515k,2615k,3016k,2880k,2859k,2753k,2832k,3077k,3306k,3274k,3504k,3692k,3837k,4276k,4319k,4233k,1330k
Jordan,JOR,3277k,3164k,3068k,3438k,3231k,2700k,3034k,4677k,4600k,5587k,5817k,6573k,6529k,7100k,7085k,8078k,6813k,6314k,5389k,5327k,4809k,4236k,4565k,4922k,5361k,1240k
Japan,JPN,3345k,3837k,4218k,4106k,4438k,4757k,4772k,5239k,5212k,6138k,6728k,7334k,8347k,8351k,6790k,8611k,6219k,8358k,10364k,13413k,19737k,24039k,28691k,31191k,31881k,4116k
Kazakhstan,KAZ,,202k,284k,257k,394k,1683k,2693k,3678k,3237k,4291k,4365k,4707k,5311k,4117k,3774k,4097k,5685k,6163k,6841k,6333k,6430k,6509k,7701k,8789k,8515k,2035k
Kenya,KEN,974k,1003k,1001k,894k,969k,1037k,994k,1001k,1146k,1361k,1479k,1601k,1817k,1203k,1490k,1609k,1823k,1711k,1520k,1350k,1181k,1340k,1449k,2025k,2049k,
Kyrgyz Republic,KGZ,,,,290k,165k,173k,199k,183k,342k,398k,319k,766k,1656k,2379k,2451k,1224k,3025k,3393k,4134k,3791k,4000k,3853k,4568k,6947k,8508k,
Cambodia,KHM,220k,260k,219k,287k,368k,466k,605k,787k,701k,1055k,1422k,1700k,2015k,2125k,2162k,2508k,2882k,3584k,4210k,4503k,4775k,5012k,5602k,6201k,6611k,1306k
Kiribati,KIR,,,,,20k,13k,14k,120k,130k,64k,50k,11k,32k,,,,,,,8k,8k,8k,8k,9k,12k,
St. Kitts and Nevis,KNA,203k,172k,194k,250k,226k,247k,334k,240k,247k,383k,365k,350k,379k,533k,548k,624k,723k,666k,695k,818k,1036k,1055k,1194k,1278k,1107k,301k
"Korea, Rep.",KOR,3753k,3684k,3908k,4250k,4660k,5322k,5147k,5347k,4753k,5818k,6023k,6155k,6448k,6891k,7818k,8798k,9795k,11140k,12176k,14202k,13232k,17242k,13336k,15347k,17503k,2519k
Kuwait,KWT,1443k,1565k,1638k,1763k,1884k,1944k,2072k,2316k,2602k,3056k,3474k,3899k,4482k,4736k,5088k,5208k,5574k,5729k,6217k,6528k,6941k,7055k,7407k,8508k,8565k,2161k
Latin America & Caribbean (excluding high income),LAC,118760k,122092k,124223k,128597k,131143k,135852k,129632k,128165k,122615k,132973k,139294k,136738k,135404k,136305k,130549k,128009k,124212k,126982k,129584k,136667k,145821k,156330k,165093k,164604k,165233k,
Lao PDR,LAO,346k,403k,463k,500k,614k,737k,674k,736k,636k,895k,1095k,1215k,1624k,1737k,2008k,2513k,2724k,3330k,3779k,4159k,4684k,4239k,3869k,4186k,4791k,886k
Lebanon,LBN,450k,424k,558k,631k,673k,742k,837k,956k,1016k,1278k,1140k,1063k,1017k,1333k,1844k,2168k,1655k,1366k,1274k,1355k,1518k,1688k,1857k,1964k,1936k,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,1832k,1276k,913k,850k,965k,963k,953k,858k,958k,,,125k,106k,760k,,,,,,,,,,,,
St. Lucia,LCA,407k,422k,563k,629k,666k,727k,747k,648k,683k,791k,720k,670k,905k,925k,982k,984k,950k,889k,921k,987k,1031k,948k,1064k,1165k,1220k,432k
Latin America & Caribbean,LCN,140093k,144212k,147783k,152444k,154423k,161345k,155631k,152948k,148080k,161111k,167840k,165383k,164051k,165006k,158419k,157336k,155234k,159170k,162605k,171231k,182042k,193556k,202721k,201522k,201856k,
Least developed countries: UN classification,LDC,5473k,6658k,6958k,7095k,7951k,8411k,8823k,9811k,9708k,11145k,12956k,14530k,16999k,18005k,18594k,20467k,23220k,26002k,28996k,31645k,33503k,32625k,34558k,38556k,40176k,
Low income,LIC,,,,,,,4423k,5834k,5908k,7428k,7489k,7947k,8225k,9780k,10644k,13440k,11066k,11790k,12106k,12211k,11563k,13029k,14021k,17022k,17410k,
Liechtenstein,LIE,59k,56k,57k,59k,60k,62k,56k,49k,49k,48k,50k,55k,73k,73k,66k,64k,67k,62k,60k,61k,57k,69k,79k,85k,98k,58k
Sri Lanka,LKA,414k,315k,384k,409k,465k,445k,397k,457k,583k,681k,669k,689k,592k,526k,538k,766k,976k,1133k,1415k,1665k,1993k,2168k,2248k,2521k,2027k,540k
Lower middle income,LMC,40349k,44942k,56688k,53669k,57315k,60823k,61303k,64049k,69067k,82273k,88540k,96433k,112971k,120779k,117207k,126945k,125757k,136178k,142765k,140616k,145156k,146764k,166574k,192814k,207722k,
Low & middle income,LMY,277743k,296977k,319785k,325180k,346142k,376461k,382836k,403925k,394043k,453547k,486277k,503389k,543032k,562444k,548334k,578189k,585014k,607554k,626413k,634344k,658163k,673875k,731331k,782001k,814041k,
Lesotho,LSO,209k,312k,313k,290k,308k,302k,295k,287k,329k,304k,304k,357k,300k,293k,344k,426k,398k,423k,433k,1079k,1082k,1196k,1137k,1173k,1142k,
Late-demographic dividend,LTE,208727k,226459k,237061k,246545k,266218k,284253k,271214k,272907k,267563k,312413k,331645k,347356k,369420k,367076k,353529k,375169k,394674k,413362k,430929k,437116k,460462k,479145k,508820k,532235k,549832k,
Lithuania,LTU,2600k,3497k,3702k,4287k,4454k,4092k,4195k,3999k,3635k,,,,4251k,4459k,4001k,4073k,4504k,4979k,5264k,5217k,5048k,5322k,5590k,6115k,6150k,2284k
